company_names,ratings,reviews_count,salary_count,interview_count,jobs_count,company_sector,locations,benefits_count,page_num
Barbeque Nation,3.9,1.1k,2.6k,48,11,Hospitality,Bengaluru +83 other locations,118,47
Deccan Fine Chemicals,3.6,1.1k,5k,105,9,Agro Chemicals,Tuni +31 other locations,60,47
Jacobs Engineering Group,4.2,1.1k,5k,88,42,Engineering & Construction,Mumbai +42 other locations,92,47
ICON Plc,4.0,1.1k,4.3k,136,97,Clinical Research,Chennai +27 other locations,54,48
VMware Software,4.4,1.1k,9k,145,20,Software Product,Bengaluru +18 other locations,129,48
Onward Technologies Inc,2.9,1.1k,6k,91,28,IT Services & Consulting,Pune +63 other locations,42,48
Motilal Oswal Home Finance,4.3,1.1k,1.3k,125,--,NBFC,Mumbai +127 other locations,22,48
Kohler,3.7,1.1k,4.9k,76,8,Building Material,Pune +52 other locations,75,48
Balkrishna Industries,4.0,1.1k,4k,64,--,Auto Components,Bhuj +32 other locations,48,48
Saipem,4.2,1.1k,3.3k,53,1,Engineering & Construction,Chennai +41 other locations,147,48
Hyundai Mobis,3.7,1.1k,5.1k,80,15,Auto Components,Chennai +47 other locations,124,48
Jabil Circuit India,3.9,1.1k,4.2k,65,84,Electronics Manufacturing,Pune +30 other locations,87,48
Navitasys India,4.1,1.1k,2.7k,143,--,Electronics Manufacturing,Bawal +25 other locations,54,48
Sundaram Finance,4.0,1.1k,2.9k,44,21,NBFC,Chennai +248 other locations,87,48
Advantmed,4.2,1.1k,2.6k,169,24,Healthcare,Ahmedabad +15 other locations,54,48
Zydus Wellness,4.1,1.1k,2.8k,104,34,FMCG,Ahmedabad +129 other locations,71,48
V2 Retail,3.4,1.1k,2.6k,86,53,Retail,New Delhi +129 other locations,83,48
Unicharm,4.0,1.1k,2.8k,65,5,FMCG,Gurugram +188 other locations,104,48
Wonder Home Finance,4.6,1.1k,719,186,2,NBFC,Jaipur +117 other locations,9,48
TK Elevator,3.8,1.1k,4.2k,65,12,Industrial Machinery,Pune +80 other locations,96,48
Asirvad Microfinance,3.8,1.1k,2.2k,45,2,NBFC,Chennai +312 other locations,60,48
Stanza Living,3.0,1.1k,3.5k,89,11,Internet,Bengaluru +36 other locations,58,48
Hikal,3.8,1.1k,4.6k,76,61,Pharma,Bengaluru +22 other locations,86,48
Jet Airways,4.6,1.1k,1.9k,24,--,Aviation,Mumbai +44 other locations,180,49
Air India Sats Airport Services,3.6,1.1k,2.4k,64,2,Aviation,New Delhi +48 other locations,67,49
Sri Chaitanya Educational Institutions,3.7,1.1k,3k,49,3,Education & Training,Hyderabad +103 other locations,66,49
Syngenta,4.2,1.1k,3.6k,80,5,Agriculture,Pune +173 other locations,92,49
Kirloskar Brothers,3.8,1.1k,4.3k,90,16,Industrial Machinery,Pune +73 other locations,96,49
Godrej Agrovet,3.9,1.1k,3.4k,63,--,Agriculture,Mumbai +145 other locations,77,49
Amazon Sellers Services,4.0,1.1k,2.4k,130,--,Internet,Bengaluru +69 other locations,101,49
GAIL,4.4,1.1k,3.2k,80,--,Oil & Gas,New Delhi +102 other locations,88,49
Adani Ports and SEZ,3.6,1.1k,3.9k,75,--,Ports & Shipping,Mundra +61 other locations,123,49
Svatantra Microfin,3.9,1.1k,2.1k,44,2,NBFC,Mumbai +326 other locations,74,49
Tube Investments of India,3.8,1.1k,3.6k,69,25,Engineering & Construction,Chennai +63 other locations,53,49
CALIBEHR,3.9,1.1k,2.7k,65,13,IT Services & Consulting,Mumbai +182 other locations,62,49
MAHLE ANAND Filter Systems,4.0,1.1k,3.4k,39,--,Auto Components,Pune +38 other locations,109,49
Nexa,4.0,1.1k,2.4k,41,--,Automobile,New Delhi +215 other locations,103,49
Gmmco,4.0,1.1k,2.9k,52,11,Industrial Machinery,Chennai +90 other locations,110,49
Aarvi Encon,3.9,1.1k,2.9k,80,--,Recruitment,Mumbai +130 other locations,66,49
Metropolis Healthcare,3.9,1.1k,3.6k,64,--,Healthcare,Mumbai +101 other locations,72,49
Vedanta Aluminium,3.8,1.1k,4.5k,65,--,Metals & Mining,Jharsuguda +45 other locations,109,49
Power Grid Corporation of India,4.3,1.1k,2k,73,--,Power,Gurugram +235 other locations,76,49
Vayona Energy,4.0,1.1k,4.9k,60,108,Power,Bengaluru +68 other locations,102,49
MG Motor,3.8,1.1k,4.7k,78,17,Automobile,Vadodara +99 other locations,72,50
Knorr-Bremse,3.3,1k,4.9k,69,7,Auto Components,Pune +30 other locations,110,50
1point1 Solutions,3.3,1k,3.1k,83,65,BPO,Bengaluru +18 other locations,85,50
Bajaj Capital Insurance Broking Limited,4.4,1k,1.2k,227,--,Insurance,New Delhi +139 other locations,41,50
Northcorp Software,4.8,1k,212,832,5,IT Services & Consulting,Gurugram +7 other locations,54,50
Pernod Ricard,3.5,1k,4.4k,61,10,Beverage,Gurugram +119 other locations,109,50
HPCL-Mittal Energy Limited,4.3,1k,4.6k,45,--,Petrochemicals,Bathinda +30 other locations,107,50
TÜV NORD,3.8,1k,4k,77,45,"Testing, Inspection and Certification (TIC)",Pune +85 other locations,63,50
Klm Axiva Finvest,4.4,1k,751,437,4,NBFC,Bengaluru +158 other locations,6,50
TKIL,4.1,1k,4.4k,74,10,Industrial Machinery,Pune +61 other locations,91,50
Spencer's Retail,3.8,1k,2.8k,64,--,Retail,Kolkata +63 other locations,94,50
Zf Rane Automotive,3.9,1k,3.9k,65,--,Auto Components,Chennai +50 other locations,133,50
Nippon Life India Asset Management,4.6,1k,1.6k,158,100,Financial Services,Mumbai +188 other locations,21,50
Kinara Capital,4.2,1k,2.2k,93,35,NBFC,Bengaluru +113 other locations,149,50
Thermo Fisher Scientific,3.7,1k,6.4k,106,161,Biotechnology,Bengaluru +35 other locations,92,50
Bharat Sanchar Nigam,3.9,1k,2.5k,47,--,Telecom,Bengaluru +241 other locations,101,50
Dana Anand,4.0,1k,2.9k,52,--,Auto Components,Pune +47 other locations,125,50
Tata Capital Housing Finance,3.9,1k,3.2k,49,--,NBFC,Mumbai +168 other locations,4,50
GlobalData,3.4,1k,5.7k,92,99,Analytics & KPO,Hyderabad +22 other locations,101,50
Aspire Systems,3.8,1k,9.7k,127,49,IT Services & Consulting,Chennai +23 other locations,84,50
